student_id,quiz_score,time_spent,retry_attempts,videos_watched,articles_read,quizzes_attempted,interactive_exercises,subject,past_quiz_scores,study_hours_per_week,days_since_last_revision,mistakes_made,study_time_preference,study_consistency,Revision_Urgency
22,41,26,2,8,4,2,5,Math,"[99, 87, 95, 98, 65]",13,4.1748535732761365,13.214198058982326,Afternoon,6.012764821409687,Immediate Revision Needed
238,76,39,4,5,1,6,5,History,"[71, 67, 60, 97, 85]",18,2.7016658265200872,2.0334943602201867,Evening,9.026684804669113,Low Urgency
241,81,56,0,0,3,1,5,History,"[43, 71, 62, 94, 45]",33,15.879278049652507,6.074618651206901,Morning,4.3379939328124095,Moderate Revision Needed
161,66,6,1,8,1,8,5,English,"[57, 73, 61, 50, 97]",18,24.351573198087664,1.003735789741537,Morning,4.9158451627668756,Immediate Revision Needed
412,85,30,2,10,9,8,5,English,"[61, 97, 88, 62, 64]",37,26.0,1.0,Morning,9.0,Immediate Revision Needed
179,65,54,3,1,2,7,2,English,"[62, 55, 42, 69, 96]",16,28.640307492842116,6.253069432653702,Morning,2.1540953766702753,Immediate Revision Needed
127,63,49,3,12,4,6,1,Math,"[54, 66, 49, 48, 72]",10,23.319605464028534,1.2730923856398575,Morning,0.8972061705237274,Immediate Revision Needed
14,63,32,4,7,3,6,6,English,"[54, 71, 97, 60, 85]",36,20.44351841853092,3.981519528202509,Morning,7.031013363109019,Moderate Revision Needed
360,87,42,0,3,1,6,4,Programming,"[67, 98, 56, 45, 58]",30,4.186254787215798,9.913909008066959,Morning,2.225220376304629,Immediate Revision Needed
137,74,31,2,9,4,5,5,Science,"[84, 85, 81, 71, 71]",24,17.0,6.0,Afternoon,5.0,Moderate Revision Needed
312,75,12,2,2,8,6,4,English,"[54, 81, 54, 54, 94]",27,16.92142825704143,5.8446025543779525,Morning,3.716297811624572,Moderate Revision Needed
77,53,49,3,4,8,9,4,Math,"[49, 71, 98, 73, 48]",19,28.0,14.0,Afternoon,7.0,Immediate Revision Needed
137,74,31,2,9,4,5,5,Science,"[84, 85, 81, 71, 71]",24,16.743849922997235,5.983698244102552,Afternoon,5.053213177934417,Moderate Revision Needed
474,71,21,1,8,9,6,6,History,"[61, 71, 55, 57, 44]",37,1.9951406895230461,5.285927892635539,Evening,1.8456077048710073,Immediate Revision Needed
439,69,14,1,1,5,5,6,Science,"[81, 50, 82, 56, 71]",17,22.186038362195095,9.997844954297394,Morning,9.151276726445996,Immediate Revision Needed
400,47,49,2,3,4,4,2,English,"[60, 95, 86, 73, 94]",39,2.160264103138755,0.29938205025756137,Afternoon,3.9406419774047445,Moderate Revision Needed
