student_id,quiz_score,time_spent,retry_attempts,videos_watched,articles_read,quizzes_attempted,interactive_exercises,subject,past_quiz_scores,study_hours_per_week,days_since_last_revision,mistakes_made,study_time_preference,study_consistency,Revision_Urgency
22,41,26,2,8,4,2,5,Math,"[99, 87, 95, 98, 65]",13,4.1748535732761365,13.214198058982326,Afternoon,6.012764821409687,Immediate Revision Needed
238,76,39,4,5,1,6,5,History,"[71, 67, 60, 97, 85]",18,2.7016658265200872,2.0334943602201867,Evening,9.026684804669111,Low Urgency
241,81,56,0,0,3,1,5,History,"[43, 71, 62, 94, 45]",33,15.879278049652507,6.074618651206901,Morning,4.3379939328124095,Moderate Revision Needed
161,66,6,1,8,1,8,5,English,"[57, 73, 61, 50, 97]",18,24.351573198087664,1.003735789741537,Morning,4.915845162766876,Immediate Revision Needed
412,85,30,2,10,9,8,5,English,"[61, 97, 88, 62, 64]",37,26.0,1.0,Morning,9.0,Immediate Revision Needed
179,65,54,3,1,2,7,2,English,"[62, 55, 42, 69, 96]",16,28.64030749284212,6.253069432653702,Morning,2.1540953766702757,Immediate Revision Needed
127,63,49,3,12,4,6,1,Math,"[54, 66, 49, 48, 72]",10,23.31960546402853,1.2730923856398575,Morning,0.8972061705237274,Immediate Revision Needed
14,63,32,4,7,3,6,6,English,"[54, 71, 97, 60, 85]",36,20.44351841853092,3.981519528202509,Morning,7.031013363109019,Moderate Revision Needed
360,87,42,0,3,1,6,4,Programming,"[67, 98, 56, 45, 58]",30,4.186254787215798,9.91390900806696,Morning,2.225220376304629,Immediate Revision Needed
137,74,31,2,9,4,5,5,Science,"[84, 85, 81, 71, 71]",24,17.0,6.0,Afternoon,5.0,Moderate Revision Needed
312,75,12,2,2,8,6,4,English,"[54, 81, 54, 54, 94]",27,16.92142825704143,5.8446025543779525,Morning,3.716297811624572,Moderate Revision Needed
77,53,49,3,4,8,9,4,Math,"[49, 71, 98, 73, 48]",19,28.0,14.0,Afternoon,7.0,Immediate Revision Needed
137,74,31,2,9,4,5,5,Science,"[84, 85, 81, 71, 71]",24,16.743849922997235,5.983698244102552,Afternoon,5.053213177934417,Moderate Revision Needed
474,71,21,1,8,9,6,6,History,"[61, 71, 55, 57, 44]",37,1.995140689523046,5.285927892635539,Evening,1.8456077048710076,Immediate Revision Needed
439,69,14,1,1,5,5,6,Science,"[81, 50, 82, 56, 71]",17,22.18603836219509,9.997844954297394,Morning,9.151276726445996,Immediate Revision Needed
400,47,49,2,3,4,4,2,English,"[60, 95, 86, 73, 94]",39,2.160264103138755,0.2993820502575613,Afternoon,3.940641977404745,Moderate Revision Needed
281,71,23,1,9,5,8,4,Science,"[65, 50, 47, 83, 79]",37,29.0,3.0,Afternoon,2.0,Immediate Revision Needed
384,85,32,2,6,5,5,0,Science,"[72, 91, 77, 54, 97]",10,17.609023550969777,11.670011280692831,Morning,3.050475393519975,Immediate Revision Needed
262,88,16,3,14,1,9,2,English,"[49, 82, 64, 59, 87]",30,8.076366661162542,9.090919338411933,Evening,7.0568246732734,Moderate Revision Needed
320,91,29,2,12,7,7,1,History,"[88, 76, 45, 58, 52]",23,21.0,3.0,Morning,7.0,Immediate Revision Needed
50,42,20,0,7,0,8,2,English,"[84, 80, 68, 43, 44]",10,8.162978877832261,9.027663109714194,Afternoon,7.886981467288857,Moderate Revision Needed
175,66,45,2,7,0,1,5,Programming,"[97, 78, 55, 72, 88]",8,28.0,10.0,Afternoon,7.0,Immediate Revision Needed
372,47,32,0,8,9,4,5,English,"[70, 63, 94, 53, 84]",31,28.0,5.0,Evening,3.0,Immediate Revision Needed
28,99,19,2,11,4,9,0,Science,"[41, 73, 94, 47, 52]",5,4.671008049402237,1.013044655926404,Evening,5.929525406448803,Moderate Revision Needed
211,45,45,0,8,1,3,0,History,"[51, 86, 96, 79, 75]",29,27.0,11.0,Evening,5.0,Immediate Revision Needed
236,66,57,1,4,6,8,5,Science,"[77, 96, 86, 42, 77]",31,20.0,7.0,Evening,2.0,Immediate Revision Needed
102,62,9,3,0,7,3,0,Programming,"[53, 95, 94, 42, 89]",26,28.0,9.0,Morning,3.0,Immediate Revision Needed
487,82,38,2,8,7,6,6,History,"[70, 92, 71, 41, 98]",23,28.821504758326885,9.115334523882726,Morning,9.007956436176435,Immediate Revision Needed
403,56,37,3,11,7,5,4,Math,"[40, 40, 96, 81, 93]",28,3.453643427717143,12.779025992961044,Evening,8.99250161554353,Immediate Revision Needed
448,63,55,1,6,5,8,4,Math,"[62, 69, 64, 67, 73]",28,22.948882803232056,11.75714382659254,Morning,7.072186725212388,Immediate Revision Needed
347,41,5,2,9,3,8,6,English,"[96, 91, 48, 93, 86]",19,23.0,2.0,Afternoon,3.0,Immediate Revision Needed
140,44,16,4,10,1,7,2,Science,"[91, 98, 60, 64, 67]",23,15.0,14.0,Morning,2.0,Immediate Revision Needed
122,84,14,2,0,0,2,0,Math,"[65, 82, 94, 78, 66]",5,8.814623883847236,9.904767460451012,Morning,3.986882732987431,Moderate Revision Needed
500,99,28,3,4,2,8,4,Math,"[55, 41, 99, 93, 69]",29,22.0,1.0,Evening,2.0,Immediate Revision Needed
371,88,32,3,0,9,2,2,Math,"[48, 86, 55, 95, 51]",32,4.0,12.0,Morning,1.0,Immediate Revision Needed
199,52,36,2,10,5,8,6,Math,"[97, 88, 78, 92, 40]",18,29.0,10.0,Evening,6.0,Immediate Revision Needed
188,71,41,0,14,2,3,1,English,"[73, 48, 81, 67, 50]",15,26.614821580594143,4.031871585743354,Evening,2.96384934485157,Immediate Revision Needed
85,93,59,3,8,3,4,0,Math,"[78, 96, 56, 73, 98]",37,13.4519494669957,5.879884367832709,Afternoon,8.989019228618222,Moderate Revision Needed
402,42,59,4,0,1,5,2,Math,"[94, 61, 79, 76, 86]",18,3.749693678892163,2.2254798179471926,Afternoon,2.099289723708662,Immediate Revision Needed
60,99,30,0,7,1,3,3,English,"[40, 42, 86, 63, 66]",27,29.0,12.0,Morning,9.0,Immediate Revision Needed
329,67,51,4,10,5,6,0,Science,"[98, 51, 88, 98, 70]",33,20.0,3.0,Morning,9.0,Moderate Revision Needed
97,70,51,1,2,2,2,0,History,"[45, 79, 52, 87, 74]",13,2.0,3.0,Morning,7.0,Moderate Revision Needed
313,58,45,1,9,0,1,5,Programming,"[78, 52, 56, 71, 48]",9,11.0,14.0,Morning,5.0,Immediate Revision Needed
475,86,52,1,4,2,7,3,Programming,"[93, 75, 69, 84, 58]",28,23.739580015669045,11.348377998659675,Morning,7.072933701524581,Immediate Revision Needed
300,55,31,4,4,2,8,2,Math,"[99, 49, 78, 67, 88]",29,24.0,7.0,Afternoon,8.0,Immediate Revision Needed
278,92,33,3,8,9,2,3,English,"[77, 42, 67, 95, 65]",25,12.0,9.0,Morning,2.0,Immediate Revision Needed
425,72,59,0,6,4,6,5,History,"[43, 84, 65, 67, 71]",39,26.927063887741983,1.3483134724978985,Afternoon,7.027717138213958,Immediate Revision Needed
102,62,9,3,0,7,3,0,Programming,"[53, 95, 94, 42, 89]",26,28.70548838566283,8.96127089646194,Morning,2.7563853861419165,Immediate Revision Needed
440,68,14,1,12,6,4,4,History,"[43, 43, 56, 80, 58]",22,17.0,11.0,Evening,9.0,Immediate Revision Needed
338,46,23,0,3,5,6,1,History,"[86, 98, 52, 78, 76]",12,24.726168798239687,2.8334195895933574,Morning,2.8871754741601943,Immediate Revision Needed
71,99,38,4,14,2,6,3,Science,"[62, 97, 89, 69, 76]",20,9.27766008361751,5.129786637210696,Evening,1.8237921881743984,Immediate Revision Needed
380,74,37,4,2,0,4,6,History,"[62, 43, 62, 87, 94]",38,24.24473588677417,5.308778644269252,Morning,7.073375919794993,Immediate Revision Needed
262,88,16,3,14,1,9,2,English,"[49, 82, 64, 59, 87]",30,8.0,9.0,Evening,7.0,Moderate Revision Needed
79,75,5,1,9,7,2,2,Programming,"[96, 56, 43, 87, 91]",38,6.84621729234881,6.205371154354186,Afternoon,3.1592462585785843,Immediate Revision Needed
24,83,53,2,2,7,1,3,History,"[57, 58, 62, 94, 77]",36,9.0,6.0,Evening,5.0,Moderate Revision Needed
31,51,41,4,13,5,9,1,Math,"[56, 98, 59, 63, 89]",6,15.0,4.0,Morning,3.0,Immediate Revision Needed
118,84,40,0,11,2,4,2,Programming,"[59, 80, 88, 66, 88]",39,19.73656285900552,6.764017893628183,Morning,6.071264393059003,Moderate Revision Needed
11,62,55,0,4,8,5,4,Math,"[65, 88, 89, 44, 59]",31,10.0,6.0,Evening,9.0,Moderate Revision Needed
222,64,40,3,2,4,9,2,History,"[48, 97, 97, 76, 87]",38,10.0,11.0,Evening,8.0,Immediate Revision Needed
321,80,37,3,12,9,6,4,Math,"[96, 99, 65, 53, 70]",14,7.613238710077343,2.959121935122188,Afternoon,7.135119742575718,Moderate Revision Needed
297,61,48,2,9,1,3,5,Programming,"[76, 96, 79, 47, 79]",26,5.0,0.0,Morning,8.0,Low Urgency
55,48,23,1,0,0,9,3,Math,"[43, 62, 81, 59, 54]",36,9.0,10.0,Evening,5.0,Moderate Revision Needed
43,54,56,4,9,5,6,5,Science,"[78, 66, 65, 53, 56]",18,28.19629271690001,2.35338875081307,Afternoon,5.101765340675804,Immediate Revision Needed
